Zip (int),Station
25432,USA_WV_Martinsburg-Eastern.WV.Rgnl.AP.724177_TMY3
20082,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
20090,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
28747,USA_NC_Asheville.Rgnl.AP.723150_TMY3
18041,USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3
18624,USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3
27509,USA_NC_Raleigh-Durham.Intl.AP.723060_TMY3
28261,USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY3
49003,USA_MI_Kalamazoo-Battle.Creek.Intl.AP.726357_TMY3
35128,USA_AL_Birmingham.Muni.AP.722280_TMY3
25302,USA_WV_Charleston-Yeager.AP.724140_TMY3
25904,USA_WV_Beckley-Raleigh.County.Mem.AP.724120_TMY3
42235,USA_KY_Bowling.Green-Warren.County.AP.746716_TMY3
917,PRI_San.Juan.Intl.AP.785260_TMY3
18820,USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3
19535,USA_PA_Reading.Mem.AP-Spaatz.Field.725103_TMY3
27625,USA_NC_Raleigh-Durham.Intl.AP.723060_TMY3
44084,USA_OH_Youngstown.Rgnl.AP.725250_TMY3
44177,USA_OH_Cleveland-Burke.Lakefront.AP.725245_TMY3
46393,USA_IL_Chicago-Midway.AP.725340_TMY3
31807,USA_GA_Columbus.Metro.AP.722255_TMY3
32701,USA_FL_Orlando.Executive.AP.722053_TMY3
33624,USA_FL_Tampa.Intl.AP.722110_TMY3
7571,USA_NJ_Caldwell-Essex.County.AP.724094_TMY3
1020,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3
1966,USA_MA_Beverly.Muni.AP.725088_TMY3
2053,USA_MA_Norwood.Mem.AP.725098_TMY3
2562,USA_MA_Otis.ANGB.725060_TMY3
20910,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
22203,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
23292,USA_VA_Richmond.Intl.AP.724010_TMY3
24105,USA_VA_Hillsville-Twin.County.AP.724107_TMY3
14646,USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3
16375,USA_PA_Franklin-Chess.Lemberton.AP.725267_TMY3
11735,USA_NY_Republic.AP.744864_TMY3
12068,USA_NY_Albany.County.AP.725180_TMY3
25174,USA_WV_Beckley-Raleigh.County.Mem.AP.724120_TMY3
25506,USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3
34712,USA_FL_Orlando-Sanford.AP.722057_TMY3
37161,USA_TN_Nashville.Intl.AP.723270_TMY3
37190,USA_TN_Nashville.Intl.AP.723270_TMY3
18073,USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3
30113,USA_GA_Rome-Richard.B.Russell.AP.723200_TMY3
95959,USA_CA_Blue.Canyon.AP.725845_TMY3
15489,USA_WV_Morgantown.Muni-Hart.Field.724176_TMY3
16740,USA_PA_Bradford.Rgnl.AP.725266_TMY3
17552,USA_PA_Lancaster.AP.725116_TMY3
18424,USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3
32358,USA_FL_Tallahassee.Rgnl.AP.722140_TMY3
32957,USA_FL_Vero.Beach.Muni.AP.722045_TMY3
34690,USA_FL_Tampa.Intl.AP.722110_TMY3
34992,USA_FL_Fort.Pierce-St.Lucie.County.AP.722103_TMY3
24468,USA_VA_Hot.Springs-Ingalls.Field.724115_TMY3
24631,USA_VA_Wise-Lonesome.Pine.AP.724117_TMY3
27850,USA_NC_Rocky.Mount-Wilson.AP.723068_TMY3
30645,USA_GA_Athens-Ben.Epps.AP.723110_TMY3
32087,USA_FL_Jacksonville.Intl.AP.722060_TMY3
5745,USA_VT_Rutland.State.AP.725165_TMY3
6081,USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3
11791,USA_NY_Republic.AP.744864_TMY3
12604,USA_NY_Poughkeepsie-Dutchess.County.AP.725036_TMY3
13119,USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3
643,PRI_San.Juan.Intl.AP.785260_TMY3
2401,USA_MA_Norwood.Mem.AP.725098_TMY3
49752,USA_MI_Chippewa.County.Intl.AP.727344_TMY3
78241,USA_TX_San.Antonio.Intl.AP.722530_TMY3
78714,USA_TX_Austin-Mueller.Muni.AP.722540_TMY3
91309,USA_CA_Long.Beach-Daugherty.Field.722970_TMY3
92197,USA_CA_San.Diego-Miramar.NAS.722930_TMY3
93004,USA_CA_Oxnard.AP.723927_TMY3
94074,USA_CA_Mountain.View-Moffett.Field.NAS.745090_TMY3
86445,USA_AZ_Kingman.AWOS.723700_TMY3
95211,USA_CA_Stockton.Metro.AP.724920_TMY3
95229,USA_CA_Modesto.Muni.AP.724926_TMY3
96050,USA_CA_Montague-Siskiyou.County.AP.725955_TMY3
75077,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3
75323,USA_TX_Dallas-Love.Field.722583_TMY3
75602,USA_TX_Longview-Gregg.County.AP.722470_TMY3
69210,USA_NE_Ainsworth.Muni.AP.725556_TMY3
84716,USA_UT_Hanksville.AP.724735_TMY3
38668,USA_TN_Memphis.Intl.AP.723340_TMY3
45732,USA_OH_Zanesville.Muni.AP.724286_TMY3
45999,USA_OH_Cincinnati.Muni.AP-Lunken.Field.724297_TMY3
46311,USA_IL_Chicago-Midway.AP.725340_TMY3
